,ticker,security,yahoo_urls
342,NTRS,Northern Trust,https://finance.yahoo.com/quote/NTRS/history?p=NTRS
343,NOC,Northrop Grumman,https://finance.yahoo.com/quote/NOC/history?p=NOC
344,NLOK,NortonLifeLock,https://finance.yahoo.com/quote/NLOK/history?p=NLOK
345,NCLH,Norwegian Cruise Line Holdings,https://finance.yahoo.com/quote/NCLH/history?p=NCLH
346,NRG,NRG Energy,https://finance.yahoo.com/quote/NRG/history?p=NRG
347,NUE,Nucor,https://finance.yahoo.com/quote/NUE/history?p=NUE
348,NVDA,Nvidia,https://finance.yahoo.com/quote/NVDA/history?p=NVDA
349,NVR,NVR,https://finance.yahoo.com/quote/NVR/history?p=NVR
350,NXPI,NXP,https://finance.yahoo.com/quote/NXPI/history?p=NXPI
351,ORLY,O'Reilly Automotive,https://finance.yahoo.com/quote/ORLY/history?p=ORLY
352,OXY,Occidental Petroleum,https://finance.yahoo.com/quote/OXY/history?p=OXY
353,ODFL,Old Dominion Freight Line,https://finance.yahoo.com/quote/ODFL/history?p=ODFL
354,OMC,Omnicom Group,https://finance.yahoo.com/quote/OMC/history?p=OMC
355,OKE,Oneok,https://finance.yahoo.com/quote/OKE/history?p=OKE
356,ORCL,Oracle,https://finance.yahoo.com/quote/ORCL/history?p=ORCL
357,OGN,Organon & Co.,https://finance.yahoo.com/quote/OGN/history?p=OGN
358,OTIS,Otis Worldwide,https://finance.yahoo.com/quote/OTIS/history?p=OTIS
359,PCAR,Paccar,https://finance.yahoo.com/quote/PCAR/history?p=PCAR
360,PKG,Packaging Corporation of America,https://finance.yahoo.com/quote/PKG/history?p=PKG
361,PH,Parker-Hannifin,https://finance.yahoo.com/quote/PH/history?p=PH
362,PAYX,Paychex,https://finance.yahoo.com/quote/PAYX/history?p=PAYX
363,PAYC,Paycom,https://finance.yahoo.com/quote/PAYC/history?p=PAYC
364,PYPL,PayPal,https://finance.yahoo.com/quote/PYPL/history?p=PYPL
365,PENN,Penn National Gaming,https://finance.yahoo.com/quote/PENN/history?p=PENN
366,PNR,Pentair,https://finance.yahoo.com/quote/PNR/history?p=PNR
367,PBCT,People's United Financial,https://finance.yahoo.com/quote/PBCT/history?p=PBCT
368,PEP,PepsiCo,https://finance.yahoo.com/quote/PEP/history?p=PEP
369,PKI,PerkinElmer,https://finance.yahoo.com/quote/PKI/history?p=PKI
370,PFE,Pfizer,https://finance.yahoo.com/quote/PFE/history?p=PFE
371,PM,Philip Morris International,https://finance.yahoo.com/quote/PM/history?p=PM
372,PSX,Phillips 66,https://finance.yahoo.com/quote/PSX/history?p=PSX
373,PNW,Pinnacle West Capital,https://finance.yahoo.com/quote/PNW/history?p=PNW
374,PXD,Pioneer Natural Resources,https://finance.yahoo.com/quote/PXD/history?p=PXD
375,PNC,PNC Financial Services,https://finance.yahoo.com/quote/PNC/history?p=PNC
376,POOL,Pool Corporation,https://finance.yahoo.com/quote/POOL/history?p=POOL
377,PPG,PPG Industries,https://finance.yahoo.com/quote/PPG/history?p=PPG
378,PPL,PPL,https://finance.yahoo.com/quote/PPL/history?p=PPL
379,PFG,Principal Financial Group,https://finance.yahoo.com/quote/PFG/history?p=PFG
380,PG,Procter & Gamble,https://finance.yahoo.com/quote/PG/history?p=PG
381,PGR,Progressive Corporation,https://finance.yahoo.com/quote/PGR/history?p=PGR
382,PLD,Prologis,https://finance.yahoo.com/quote/PLD/history?p=PLD
383,PRU,Prudential Financial,https://finance.yahoo.com/quote/PRU/history?p=PRU
384,PTC,PTC,https://finance.yahoo.com/quote/PTC/history?p=PTC
385,PEG,Public Service Enterprise Group,https://finance.yahoo.com/quote/PEG/history?p=PEG
386,PSA,Public Storage,https://finance.yahoo.com/quote/PSA/history?p=PSA
387,PHM,PulteGroup,https://finance.yahoo.com/quote/PHM/history?p=PHM
388,PVH,PVH,https://finance.yahoo.com/quote/PVH/history?p=PVH
389,QRVO,Qorvo,https://finance.yahoo.com/quote/QRVO/history?p=QRVO
390,PWR,Quanta Services,https://finance.yahoo.com/quote/PWR/history?p=PWR
391,QCOM,Qualcomm,https://finance.yahoo.com/quote/QCOM/history?p=QCOM
392,DGX,Quest Diagnostics,https://finance.yahoo.com/quote/DGX/history?p=DGX
393,RL,Ralph Lauren Corporation,https://finance.yahoo.com/quote/RL/history?p=RL
394,RJF,Raymond James Financial,https://finance.yahoo.com/quote/RJF/history?p=RJF
395,RTX,Raytheon Technologies,https://finance.yahoo.com/quote/RTX/history?p=RTX
396,O,Realty Income Corporation,https://finance.yahoo.com/quote/O/history?p=O
397,REG,Regency Centers,https://finance.yahoo.com/quote/REG/history?p=REG
398,REGN,Regeneron Pharmaceuticals,https://finance.yahoo.com/quote/REGN/history?p=REGN
399,RF,Regions Financial Corporation,https://finance.yahoo.com/quote/RF/history?p=RF
400,RSG,Republic Services,https://finance.yahoo.com/quote/RSG/history?p=RSG
401,RMD,ResMed,https://finance.yahoo.com/quote/RMD/history?p=RMD
402,RHI,Robert Half International,https://finance.yahoo.com/quote/RHI/history?p=RHI
403,ROK,Rockwell Automation,https://finance.yahoo.com/quote/ROK/history?p=ROK
404,ROL,Rollins,https://finance.yahoo.com/quote/ROL/history?p=ROL
405,ROP,Roper Technologies,https://finance.yahoo.com/quote/ROP/history?p=ROP
406,ROST,Ross Stores,https://finance.yahoo.com/quote/ROST/history?p=ROST
407,RCL,Royal Caribbean Group,https://finance.yahoo.com/quote/RCL/history?p=RCL
408,SPGI,S&P Global,https://finance.yahoo.com/quote/SPGI/history?p=SPGI
409,CRM,Salesforce,https://finance.yahoo.com/quote/CRM/history?p=CRM
410,SBAC,SBA Communications,https://finance.yahoo.com/quote/SBAC/history?p=SBAC
411,SLB,Schlumberger,https://finance.yahoo.com/quote/SLB/history?p=SLB
412,STX,Seagate Technology,https://finance.yahoo.com/quote/STX/history?p=STX
413,SEE,Sealed Air,https://finance.yahoo.com/quote/SEE/history?p=SEE
414,SRE,Sempra Energy,https://finance.yahoo.com/quote/SRE/history?p=SRE
415,NOW,ServiceNow,https://finance.yahoo.com/quote/NOW/history?p=NOW
416,SHW,Sherwin-Williams,https://finance.yahoo.com/quote/SHW/history?p=SHW
417,SPG,Simon Property Group,https://finance.yahoo.com/quote/SPG/history?p=SPG
418,SWKS,Skyworks Solutions,https://finance.yahoo.com/quote/SWKS/history?p=SWKS
419,SNA,Snap-on,https://finance.yahoo.com/quote/SNA/history?p=SNA
420,SO,Southern Company,https://finance.yahoo.com/quote/SO/history?p=SO
421,LUV,Southwest Airlines,https://finance.yahoo.com/quote/LUV/history?p=LUV
422,SWK,Stanley Black & Decker,https://finance.yahoo.com/quote/SWK/history?p=SWK
423,SBUX,Starbucks,https://finance.yahoo.com/quote/SBUX/history?p=SBUX
424,STT,State Street Corporation,https://finance.yahoo.com/quote/STT/history?p=STT
425,STE,Steris,https://finance.yahoo.com/quote/STE/history?p=STE
426,SYK,Stryker Corporation,https://finance.yahoo.com/quote/SYK/history?p=SYK
427,SIVB,SVB Financial,https://finance.yahoo.com/quote/SIVB/history?p=SIVB
428,SYF,Synchrony Financial,https://finance.yahoo.com/quote/SYF/history?p=SYF
429,SNPS,Synopsys,https://finance.yahoo.com/quote/SNPS/history?p=SNPS
430,SYY,Sysco,https://finance.yahoo.com/quote/SYY/history?p=SYY
431,TMUS,T-Mobile US,https://finance.yahoo.com/quote/TMUS/history?p=TMUS
432,TROW,T. Rowe Price,https://finance.yahoo.com/quote/TROW/history?p=TROW
433,TTWO,Take-Two Interactive,https://finance.yahoo.com/quote/TTWO/history?p=TTWO
434,TPR,Tapestry,https://finance.yahoo.com/quote/TPR/history?p=TPR
435,TGT,Target,https://finance.yahoo.com/quote/TGT/history?p=TGT
436,TEL,TE Connectivity,https://finance.yahoo.com/quote/TEL/history?p=TEL
437,TDY,Teledyne Technologies,https://finance.yahoo.com/quote/TDY/history?p=TDY
438,TFX,Teleflex,https://finance.yahoo.com/quote/TFX/history?p=TFX
439,TER,Teradyne,https://finance.yahoo.com/quote/TER/history?p=TER
440,TSLA,Tesla,https://finance.yahoo.com/quote/TSLA/history?p=TSLA
441,TXN,Texas Instruments,https://finance.yahoo.com/quote/TXN/history?p=TXN
442,TXT,Textron,https://finance.yahoo.com/quote/TXT/history?p=TXT
443,TMO,Thermo Fisher Scientific,https://finance.yahoo.com/quote/TMO/history?p=TMO
444,TJX,TJX Companies,https://finance.yahoo.com/quote/TJX/history?p=TJX
445,TSCO,Tractor Supply Company,https://finance.yahoo.com/quote/TSCO/history?p=TSCO
446,TT,Trane Technologies,https://finance.yahoo.com/quote/TT/history?p=TT
447,TDG,TransDigm Group,https://finance.yahoo.com/quote/TDG/history?p=TDG
448,TRV,The Travelers Companies,https://finance.yahoo.com/quote/TRV/history?p=TRV
449,TRMB,Trimble,https://finance.yahoo.com/quote/TRMB/history?p=TRMB
450,TFC,Truist Financial,https://finance.yahoo.com/quote/TFC/history?p=TFC
451,TWTR,Twitter,https://finance.yahoo.com/quote/TWTR/history?p=TWTR
452,TYL,Tyler Technologies,https://finance.yahoo.com/quote/TYL/history?p=TYL
453,TSN,Tyson Foods,https://finance.yahoo.com/quote/TSN/history?p=TSN
454,UDR,UDR,https://finance.yahoo.com/quote/UDR/history?p=UDR
455,ULTA,Ulta Beauty,https://finance.yahoo.com/quote/ULTA/history?p=ULTA
456,USB,U.S. Bancorp,https://finance.yahoo.com/quote/USB/history?p=USB
457,UAA,Under Armour (Class A),https://finance.yahoo.com/quote/UAA/history?p=UAA
458,UA,Under Armour (Class C),https://finance.yahoo.com/quote/UA/history?p=UA
459,UNP,Union Pacific,https://finance.yahoo.com/quote/UNP/history?p=UNP
460,UAL,United Airlines,https://finance.yahoo.com/quote/UAL/history?p=UAL
461,UNH,UnitedHealth Group,https://finance.yahoo.com/quote/UNH/history?p=UNH
462,UPS,United Parcel Service,https://finance.yahoo.com/quote/UPS/history?p=UPS
463,URI,United Rentals,https://finance.yahoo.com/quote/URI/history?p=URI
464,UHS,Universal Health Services,https://finance.yahoo.com/quote/UHS/history?p=UHS
465,VLO,Valero Energy,https://finance.yahoo.com/quote/VLO/history?p=VLO
466,VTR,Ventas,https://finance.yahoo.com/quote/VTR/history?p=VTR
467,VRSN,Verisign,https://finance.yahoo.com/quote/VRSN/history?p=VRSN
468,VRSK,Verisk Analytics,https://finance.yahoo.com/quote/VRSK/history?p=VRSK
469,VZ,Verizon Communications,https://finance.yahoo.com/quote/VZ/history?p=VZ
470,VRTX,Vertex Pharmaceuticals,https://finance.yahoo.com/quote/VRTX/history?p=VRTX
471,VFC,VF Corporation,https://finance.yahoo.com/quote/VFC/history?p=VFC
472,VIAC,ViacomCBS,https://finance.yahoo.com/quote/VIAC/history?p=VIAC
473,VTRS,Viatris,https://finance.yahoo.com/quote/VTRS/history?p=VTRS
474,V,Visa,https://finance.yahoo.com/quote/V/history?p=V
475,VNO,Vornado Realty Trust,https://finance.yahoo.com/quote/VNO/history?p=VNO
476,VMC,Vulcan Materials,https://finance.yahoo.com/quote/VMC/history?p=VMC
477,WRB,W. R. Berkley Corporation,https://finance.yahoo.com/quote/WRB/history?p=WRB
478,WAB,Wabtec,https://finance.yahoo.com/quote/WAB/history?p=WAB
479,WMT,Walmart,https://finance.yahoo.com/quote/WMT/history?p=WMT
480,WBA,Walgreens Boots Alliance,https://finance.yahoo.com/quote/WBA/history?p=WBA
481,DIS,The Walt Disney Company,https://finance.yahoo.com/quote/DIS/history?p=DIS
482,WM,Waste Management,https://finance.yahoo.com/quote/WM/history?p=WM
483,WAT,Waters Corporation,https://finance.yahoo.com/quote/WAT/history?p=WAT
484,WEC,WEC Energy Group,https://finance.yahoo.com/quote/WEC/history?p=WEC
485,WFC,Wells Fargo,https://finance.yahoo.com/quote/WFC/history?p=WFC
486,WELL,Welltower,https://finance.yahoo.com/quote/WELL/history?p=WELL
487,WST,West Pharmaceutical Services,https://finance.yahoo.com/quote/WST/history?p=WST
488,WDC,Western Digital,https://finance.yahoo.com/quote/WDC/history?p=WDC
489,WU,Western Union,https://finance.yahoo.com/quote/WU/history?p=WU
490,WRK,WestRock,https://finance.yahoo.com/quote/WRK/history?p=WRK
491,WY,Weyerhaeuser,https://finance.yahoo.com/quote/WY/history?p=WY
492,WHR,Whirlpool Corporation,https://finance.yahoo.com/quote/WHR/history?p=WHR
493,WMB,Williams Companies,https://finance.yahoo.com/quote/WMB/history?p=WMB
494,WLTW,Willis Towers Watson,https://finance.yahoo.com/quote/WLTW/history?p=WLTW
495,WYNN,Wynn Resorts,https://finance.yahoo.com/quote/WYNN/history?p=WYNN
496,XEL,Xcel Energy,https://finance.yahoo.com/quote/XEL/history?p=XEL
497,XLNX,Xilinx,https://finance.yahoo.com/quote/XLNX/history?p=XLNX
498,XYL,Xylem,https://finance.yahoo.com/quote/XYL/history?p=XYL
499,YUM,Yum! Brands,https://finance.yahoo.com/quote/YUM/history?p=YUM
500,ZBRA,Zebra Technologies,https://finance.yahoo.com/quote/ZBRA/history?p=ZBRA
501,ZBH,Zimmer Biomet,https://finance.yahoo.com/quote/ZBH/history?p=ZBH
502,ZION,Zions Bancorp,https://finance.yahoo.com/quote/ZION/history?p=ZION
503,ZTS,Zoetis,https://finance.yahoo.com/quote/ZTS/history?p=ZTS
