,ticker,security,yahoo_urls
77,BR,Broadridge Financial Solutions,https://finance.yahoo.com/quote/BR/history?p=BR
78,BRO,Brown & Brown,https://finance.yahoo.com/quote/BRO/history?p=BRO
79,BF.B,Brown–Forman,https://finance.yahoo.com/quote/BF.B/history?p=BF.B
80,CHRW,C. H. Robinson,https://finance.yahoo.com/quote/CHRW/history?p=CHRW
81,CDNS,Cadence Design Systems,https://finance.yahoo.com/quote/CDNS/history?p=CDNS
82,CZR,Caesars Entertainment,https://finance.yahoo.com/quote/CZR/history?p=CZR
83,CPB,Campbell Soup,https://finance.yahoo.com/quote/CPB/history?p=CPB
84,COF,Capital One,https://finance.yahoo.com/quote/COF/history?p=COF
85,CAH,Cardinal Health,https://finance.yahoo.com/quote/CAH/history?p=CAH
86,KMX,CarMax,https://finance.yahoo.com/quote/KMX/history?p=KMX
87,CCL,Carnival Corporation,https://finance.yahoo.com/quote/CCL/history?p=CCL
88,CARR,Carrier Global,https://finance.yahoo.com/quote/CARR/history?p=CARR
89,CTLT,Catalent,https://finance.yahoo.com/quote/CTLT/history?p=CTLT
90,CAT,Caterpillar,https://finance.yahoo.com/quote/CAT/history?p=CAT
91,CBOE,Cboe Global Markets,https://finance.yahoo.com/quote/CBOE/history?p=CBOE
92,CBRE,CBRE,https://finance.yahoo.com/quote/CBRE/history?p=CBRE
93,CDW,CDW,https://finance.yahoo.com/quote/CDW/history?p=CDW
94,CE,Celanese,https://finance.yahoo.com/quote/CE/history?p=CE
95,CNC,Centene,https://finance.yahoo.com/quote/CNC/history?p=CNC
96,CNP,CenterPoint Energy,https://finance.yahoo.com/quote/CNP/history?p=CNP
97,CDAY,Ceridian,https://finance.yahoo.com/quote/CDAY/history?p=CDAY
98,CERN,Cerner,https://finance.yahoo.com/quote/CERN/history?p=CERN
99,CF,CF Industries,https://finance.yahoo.com/quote/CF/history?p=CF
100,CRL,Charles River Laboratories,https://finance.yahoo.com/quote/CRL/history?p=CRL
101,SCHW,Charles Schwab,https://finance.yahoo.com/quote/SCHW/history?p=SCHW
102,CHTR,Charter Communications,https://finance.yahoo.com/quote/CHTR/history?p=CHTR
103,CVX,Chevron,https://finance.yahoo.com/quote/CVX/history?p=CVX
104,CMG,Chipotle Mexican Grill,https://finance.yahoo.com/quote/CMG/history?p=CMG
105,CB,Chubb,https://finance.yahoo.com/quote/CB/history?p=CB
106,CHD,Church & Dwight,https://finance.yahoo.com/quote/CHD/history?p=CHD
107,CI,Cigna,https://finance.yahoo.com/quote/CI/history?p=CI
108,CINF,Cincinnati Financial,https://finance.yahoo.com/quote/CINF/history?p=CINF
109,CTAS,Cintas Corporation,https://finance.yahoo.com/quote/CTAS/history?p=CTAS
110,CSCO,Cisco Systems,https://finance.yahoo.com/quote/CSCO/history?p=CSCO
111,C,Citigroup,https://finance.yahoo.com/quote/C/history?p=C
112,CFG,Citizens Financial Group,https://finance.yahoo.com/quote/CFG/history?p=CFG
113,CTXS,Citrix Systems,https://finance.yahoo.com/quote/CTXS/history?p=CTXS
114,CLX,Clorox,https://finance.yahoo.com/quote/CLX/history?p=CLX
115,CME,CME Group,https://finance.yahoo.com/quote/CME/history?p=CME
116,CMS,CMS Energy,https://finance.yahoo.com/quote/CMS/history?p=CMS
117,KO,Coca-Cola,https://finance.yahoo.com/quote/KO/history?p=KO
118,CTSH,Cognizant Technology Solutions,https://finance.yahoo.com/quote/CTSH/history?p=CTSH
119,CL,Colgate-Palmolive,https://finance.yahoo.com/quote/CL/history?p=CL
120,CMCSA,Comcast,https://finance.yahoo.com/quote/CMCSA/history?p=CMCSA
121,CMA,Comerica,https://finance.yahoo.com/quote/CMA/history?p=CMA
122,CAG,Conagra Brands,https://finance.yahoo.com/quote/CAG/history?p=CAG
123,COP,ConocoPhillips,https://finance.yahoo.com/quote/COP/history?p=COP
124,ED,Consolidated Edison,https://finance.yahoo.com/quote/ED/history?p=ED
125,STZ,Constellation Brands,https://finance.yahoo.com/quote/STZ/history?p=STZ
126,COO,The Cooper Companies,https://finance.yahoo.com/quote/COO/history?p=COO
127,CPRT,Copart,https://finance.yahoo.com/quote/CPRT/history?p=CPRT
